FIPS_Code,State,Area_name,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
00000,US,United States,"163,140,305","157,154,185","5,986,120",3.7,"160,611,064","147,677,360","12,933,704",8.1,"65,712",
01000,AL,Alabama,"2,237,278","2,169,395","67,883",3.0,"2,230,118","2,099,062","131,056",5.9,"51,771",100.0
01001,AL,"Autauga County, AL","26,281","25,561",720,2.7,"25,838","24,576","1,262",4.9,"58,233",112.5
01003,AL,"Baldwin County, AL","97,424","94,713","2,711",2.8,"96,763","91,338","5,425",5.6,"59,871",115.6
01005,AL,"Barbour County, AL","8,502","8,177",325,3.8,"8,587","7,982",605,7.0,"35,972",69.5
01007,AL,"Bibb County, AL","8,639","8,371",268,3.1,"8,640","8,067",573,6.6,"47,918",92.6
01009,AL,"Blount County, AL","25,196","24,516",680,2.7,"24,661","23,653","1,008",4.1,"52,902",102.2
01011,AL,"Bullock County, AL","4,785","4,608",177,3.7,"4,818","4,553",265,5.5,"31,906",61.6
01013,AL,"Butler County, AL","9,172","8,832",340,3.7,"9,056","8,255",801,8.8,"39,944",77.2
01015,AL,"Calhoun County, AL","46,082","44,440","1,642",3.6,"46,240","42,980","3,260",7.1,"47,747",92.2
01017,AL,"Chambers County, AL","15,749","15,287",462,2.9,"15,865","14,787","1,078",6.8,"42,015",81.2
01019,AL,"Cherokee County, AL","11,726","11,386",340,2.9,"11,513","10,983",530,4.6,"45,982",88.8
01021,AL,"Chilton County, AL","19,841","19,296",545,2.7,"19,592","18,618",974,5.0,"49,692",96.0
01023,AL,"Choctaw County, AL","4,645","4,427",218,4.7,"4,621","4,313",308,6.7,"39,808",76.9
01025,AL,"Clarke County, AL","7,588","7,151",437,5.8,"7,769","7,069",700,9.0,"43,822",84.6
01027,AL,"Clay County, AL","6,068","5,886",182,3.0,"6,083","5,838",245,4.0,"40,562",78.3
01029,AL,"Cleburne County, AL","5,773","5,590",183,3.2,"5,737","5,475",262,4.6,"51,276",99.0
01031,AL,"Coffee County, AL","21,741","21,108",633,2.9,"21,502","20,558",944,4.4,"57,299",110.7
01033,AL,"Colbert County, AL","23,703","22,811",892,3.8,"23,558","22,008","1,550",6.6,"46,683",90.2
01035,AL,"Conecuh County, AL","4,499","4,320",179,4.0,"4,529","4,198",331,7.3,"41,539",80.2
01037,AL,"Coosa County, AL","4,505","4,370",135,3.0,"4,392","4,150",242,5.5,"42,024",81.2
01039,AL,"Covington County, AL","15,545","15,007",538,3.5,"15,172","14,434",738,4.9,"44,836",86.6
01041,AL,"Crenshaw County, AL","6,436","6,253",183,2.8,"6,253","5,896",357,5.7,"43,309",83.7
01043,AL,"Cullman County, AL","38,541","37,533","1,008",2.6,"38,310","36,660","1,650",4.3,"50,897",98.3
01045,AL,"Dale County, AL","20,600","19,951",649,3.2,"20,710","19,701","1,009",4.9,"45,120",87.2
01047,AL,"Dallas County, AL","14,655","13,850",805,5.5,"14,619","13,049","1,570",10.7,"34,034",65.7
01049,AL,"DeKalb County, AL","31,148","30,270",878,2.8,"30,736","29,348","1,388",4.5,"44,277",85.5
01051,AL,"Elmore County, AL","37,236","36,257",979,2.6,"36,620","34,843","1,777",4.9,"62,310",120.4
01053,AL,"Escambia County, AL","14,613","14,095",518,3.5,"14,453","13,589",864,6.0,"42,712",82.5
01055,AL,"Etowah County, AL","42,462","41,026","1,436",3.4,"40,724","37,598","3,126",7.7,"43,047",83.1
01057,AL,"Fayette County, AL","6,582","6,376",206,3.1,"6,562","6,236",326,5.0,"44,212",85.4
01059,AL,"Franklin County, AL","14,592","14,185",407,2.8,"14,424","13,786",638,4.4,"44,874",86.7
01061,AL,"Geneva County, AL","10,930","10,606",324,3.0,"10,835","10,391",444,4.1,"43,089",83.2
01063,AL,"Greene County, AL","2,889","2,727",162,5.6,"3,015","2,687",328,10.9,"28,699",55.4
01065,AL,"Hale County, AL","6,076","5,834",242,4.0,"6,075","5,503",572,9.4,"40,745",78.7
01067,AL,"Henry County, AL","6,882","6,632",250,3.6,"6,814","6,487",327,4.8,"48,597",93.9
01069,AL,"Houston County, AL","46,298","44,892","1,406",3.0,"46,358","43,861","2,497",5.4,"50,138",96.8
01071,AL,"Jackson County, AL","23,326","22,550",776,3.3,"22,840","21,637","1,203",5.3,"44,322",85.6
01073,AL,"Jefferson County, AL","316,802","307,648","9,154",2.9,"315,957","296,282","19,675",6.2,"54,127",104.6
01075,AL,"Lamar County, AL","5,802","5,621",181,3.1,"5,730","5,452",278,4.9,"42,686",82.5
01077,AL,"Lauderdale County, AL","42,448","41,047","1,401",3.3,"41,931","39,610","2,321",5.5,"48,188",93.1
01079,AL,"Lawrence County, AL","14,230","13,779",451,3.2,"14,363","13,660",703,4.9,"47,797",92.3
01081,AL,"Lee County, AL","76,375","74,272","2,103",2.8,"75,564","71,629","3,935",5.2,"54,160",104.6
01083,AL,"Limestone County, AL","44,272","43,081","1,191",2.7,"44,624","42,724","1,900",4.3,"64,729",125.0
01085,AL,"Lowndes County, AL","3,499","3,296",203,5.8,"3,661","3,173",488,13.3,"33,930",65.5
01087,AL,"Macon County, AL","7,856","7,522",334,4.3,"8,063","7,290",773,9.6,"34,281",66.2
01089,AL,"Madison County, AL","184,941","180,126","4,815",2.6,"187,247","178,579","8,668",4.6,"68,609",132.5
01091,AL,"Marengo County, AL","7,681","7,409",272,3.5,"7,766","7,281",485,6.2,"38,838",75.0
01093,AL,"Marion County, AL","12,748","12,299",449,3.5,"13,034","12,373",661,5.1,"44,675",86.3
01095,AL,"Marshall County, AL","44,060","42,962","1,098",2.5,"44,275","42,430","1,845",4.2,"48,913",94.5
01097,AL,"Mobile County, AL","188,741","181,682","7,059",3.7,"190,882","175,761","15,121",7.9,"49,492",95.6
01099,AL,"Monroe County, AL","7,320","6,966",354,4.8,"7,474","6,864",610,8.2,"40,005",77.3
