"","geo","fip_codes","county_state","county","state","total_workers","public_transportation","walk","perc_public","perc_walk"
"1","0500000US01001","01001","Autauga County, Alabama","Autauga County","Alabama",24325,14,145,0.0575539568345324,0.596094552929085
"2","0500000US01003","01003","Baldwin County, Alabama","Baldwin County","Alabama",87837,95,673,0.108154877784988,0.76619192367681
"3","0500000US01005","01005","Barbour County, Alabama","Barbour County","Alabama",8683,22,188,0.253368651387769,2.1651502936773
"4","0500000US01007","01007","Bibb County, Alabama","Bibb County","Alabama",8024,53,21,0.660518444666002,0.261714855433699
"5","0500000US01009","01009","Blount County, Alabama","Blount County","Alabama",21230,29,93,0.136599152143194,0.438059349976448
"6","0500000US01011","01011","Bullock County, Alabama","Bullock County","Alabama",4290,11,265,0.256410256410256,6.17715617715618
"7","0500000US01013","01013","Butler County, Alabama","Butler County","Alabama",7623,0,67,0,0.878919060737243
"8","0500000US01015","01015","Calhoun County, Alabama","Calhoun County","Alabama",46289,115,585,0.248439154010672,1.26379917474994
"9","0500000US01017","01017","Chambers County, Alabama","Chambers County","Alabama",14241,23,88,0.161505512253353,0.617934133838916
"10","0500000US01019","01019","Cherokee County, Alabama","Cherokee County","Alabama",9731,38,29,0.390504573014079,0.298016647826534
"11","0500000US01021","01021","Chilton County, Alabama","Chilton County","Alabama",17386,18,109,0.103531577131025,0.626941217071207
"12","0500000US01023","01023","Choctaw County, Alabama","Choctaw County","Alabama",4230,0,74,0,1.74940898345154
"13","0500000US01025","01025","Clarke County, Alabama","Clarke County","Alabama",7805,12,58,0.153747597693786,0.743113388853299
"14","0500000US01027","01027","Clay County, Alabama","Clay County","Alabama",5402,0,153,0,2.83228433913365
"15","0500000US01029","01029","Cleburne County, Alabama","Cleburne County","Alabama",5469,1,49,0.0182848784055586,0.895959041872372
"16","0500000US01031","01031","Coffee County, Alabama","Coffee County","Alabama",22159,3,227,0.0135385170810957,1.02441445913624
"17","0500000US01033","01033","Colbert County, Alabama","Colbert County","Alabama",21809,22,161,0.100875785226283,0.738227337337796
"18","0500000US01035","01035","Conecuh County, Alabama","Conecuh County","Alabama",3897,14,30,0.359250705671029,0.769822940723634
"19","0500000US01037","01037","Coosa County, Alabama","Coosa County","Alabama",3750,24,62,0.64,1.65333333333333
"20","0500000US01039","01039","Covington County, Alabama","Covington County","Alabama",14532,26,159,0.178915496834572,1.09413707679604
"21","0500000US01041","01041","Crenshaw County, Alabama","Crenshaw County","Alabama",5611,6,95,0.106932810550704,1.69310283371948
"22","0500000US01043","01043","Cullman County, Alabama","Cullman County","Alabama",31603,35,198,0.11074897952726,0.6265227984685
